codice_esterno,0,1,2,3,4,5,6,7,8,9,10,11,giorno_uscita,colore,cat_merc
04AK4FA-19,2.0,13.0,3.0,3.0,11.0,6.0,5.0,4.0,1.0,2.0,1.0,2.0,2018-12-13,fantasia,pantalone lungo
04AK5BI-18,1.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,43.0,20.0,2018-06-03,bianco,shorts
04AK6BI-18,12.0,4.0,4.0,5.0,1.0,7.0,3.0,1.0,2.0,57.0,49.0,21.0,2018-06-05,bianco,pantalone lungo
04AK6NE-18,6.0,8.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2018-08-01,nero,pantalone lungo
04PR4NE-19,7.0,20.0,20.0,24.0,11.0,7.0,6.0,1.0,0.0,5.0,9.0,0.0,2019-09-20,nero,pantalone lungo
08HD1BI-18,11.0,6.0,7.0,4.0,3.0,5.0,3.0,4.0,2.0,49.0,46.0,33.0,2018-06-05,bianco,manica 3/4
08PR11NE-19,8.0,16.0,11.0,9.0,6.0,4.0,1.0,1.0,1.0,17.0,0.0,0.0,2019-09-24,nero,manica lunga
08PR1T555BI-19,3.0,14.0,12.0,11.0,8.0,14.0,15.0,8.0,16.0,5.0,6.0,1.0,2019-03-02,bianco,manica 3/4
08PR1T555NE-19,2.0,20.0,25.0,21.0,16.0,11.0,10.0,11.0,6.0,4.0,2.0,1.0,2019-02-28,nero,manica 3/4
08PR1T555RO-19,5.0,36.0,30.0,19.0,18.0,50.0,37.0,21.0,4.0,6.0,3.0,1.0,2019-02-28,rosso,manica 3/4
08PRFA-19,1.0,1.0,4.0,7.0,15.0,17.0,7.0,4.0,2.0,3.0,2.0,1.0,2019-09-07,fantasia,manica lunga
08PRNE-19,3.0,2.0,23.0,18.0,18.0,14.0,7.0,4.0,2.0,1.0,2.0,43.0,2019-09-12,nero,manica 3/4
08PRRO-19,3.0,2.0,14.0,16.0,9.0,11.0,6.0,5.0,4.0,1.0,3.0,55.0,2019-09-12,rosso,manica 3/4
08PRSE-19,1.0,2.0,6.0,10.0,14.0,7.0,2.0,3.0,3.0,0.0,0.0,22.0,2019-09-14,senape,manica 3/4
08TF35FA-19,6.0,3.0,3.0,4.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2018-12-20,fantasia,manica lunga
09PR1NE-19,10.0,13.0,19.0,16.0,14.0,4.0,8.0,77.0,0.0,0.0,0.0,0.0,2019-10-08,nero,capospalla  medio
09PR2GR-19,4.0,7.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-15,grigio,capospalla  medio
